...1	Log2 fold change	std error (log2)	Lower confidence limit (log2)	Upper confidence limit (log2)	Linear fold change	Lower confidence limit (linear)	Upper confidence limit (linear)	P-value	BH.p.value	method	Gene.sets	probe.ID
MS4A4A-mRNA	1.38	0.14	1.1	1.65	2.6	2.15	3.14	6.02e-4	0.0871	loglinear	NA	NM_024021.2:800
PTGER4-mRNA	-0.64	0.0759	-0.789	-0.491	0.642	0.579	0.711	0.00108	0.0871	loglinear	NA	NM_000958.2:976
UQCR10-mRNA	-0.464	0.0556	-0.573	-0.355	0.725	0.672	0.782	0.00112	0.0871	loglinear	Mitochondrial Respiration	NM_001003684.1:40
DCK-mRNA	-1.07	0.144	-1.36	-0.793	0.475	0.391	0.577	0.0017	0.0871	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_000788.2:310
UPP1-mRNA	1.7	0.235	1.24	2.16	3.25	2.36	4.47	0.00194	0.0871	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_003364.2:925
IDO1-mRNA	7.29	1.01	5.3	9.28	157	39.4	621	0.00199	0.0871	lm.nb	TryptophanKynurenine Metabolism	NM_002164.5:52
PPAT-mRNA	-1.33	0.187	-1.7	-0.968	0.397	0.308	0.511	0.00203	0.0871	loglinear	Amino Acid Synthesis, Myc, Nucleotide Synthesis	NM_002703.3:1210
SIGLEC5-mRNA	2.23	0.319	1.6	2.85	4.69	3.04	7.22	0.0022	0.0871	lm.nb	NA	NM_003830.3:1405
GMPR-mRNA	3.62	0.519	2.6	4.64	12.3	6.07	24.9	0.00222	0.0871	lm.nb	Nucleotide Salvage, Nucleotide Synthesis	NM_006877.3:325
IL4I1-mRNA	4.38	0.643	3.12	5.64	20.9	8.71	50	0.00242	0.0871	lm.nb	Amino Acid Synthesis, TryptophanKynurenine Metabolism	NM_152899.1:1452
ZNF254-mRNA	-0.543	0.0809	-0.702	-0.385	0.686	0.615	0.766	0.00256	0.0871	loglinear	Transcriptional Regulation	NM_203282.3:1986
CCL4-mRNA	7	1.09	4.87	9.13	128	29.2	560	0.003	0.0871	lm.nb	Cytokine & Chemokine Signaling, NF-kB	NM_002984.2:201
SDSL-mRNA	1.43	0.224	0.994	1.87	2.7	1.99	3.66	0.00305	0.0871	lm.nb	Amino Acid Synthesis	NM_138432.2:303
PYCR2-mRNA	-0.3	0.0474	-0.393	-0.207	0.812	0.761	0.866	0.00318	0.0871	loglinear	Amino Acid Synthesis, Glutamine Metabolism	NM_013328.2:1250
IRF1-mRNA	1.45	0.229	0.996	1.89	2.72	1.99	3.72	0.00324	0.0871	loglinear	Cytokine & Chemokine Signaling, Transcriptional Regulation	NM_002198.2:15
GOT1-mRNA	-0.485	0.077	-0.636	-0.334	0.714	0.644	0.793	0.00324	0.0871	loglinear	Amino Acid Synthesis, Arginine Metabolism, Glutamine Metabolism	NM_002079.2:615
SDS-mRNA	4.51	0.726	3.09	5.93	22.8	8.51	61.2	0.00341	0.0871	lm.nb	Amino Acid Synthesis	NM_006843.2:1165
NADK-mRNA	1.4	0.225	0.959	1.84	2.64	1.94	3.59	0.00342	0.0871	lm.nb	Vitamin & Cofactor Metabolism	NM_001198993.1:1558
AFMID-mRNA	-1.35	0.22	-1.78	-0.916	0.393	0.292	0.53	0.00361	0.0871	loglinear	TryptophanKynurenine Metabolism	NM_001010982.4:850
MYD88-mRNA	1.77	0.29	1.2	2.34	3.41	2.3	5.06	0.00365	0.0871	lm.nb	Antigen Presentation, Cytokine & Chemokine Signaling, MAPK, NF-kB, TLR Signaling	NM_002468.3:2145
OAT-mRNA	-0.753	0.125	-0.998	-0.507	0.594	0.501	0.704	0.00385	0.0871	loglinear	Amino Acid Synthesis, Glutamine Metabolism	NM_000274.3:775
CD84-mRNA	1.87	0.315	1.25	2.49	3.66	2.38	5.61	0.00405	0.0871	lm.nb	NA	NM_001184879.1:28
